date,open,high,low,close,volume
2014-08-11,1.340725,1.3412,1.338035,1.338495,-1.0
2014-08-12,1.33848,1.338625,1.33361,1.336935,-1.0
2014-08-13,1.33679,1.341575,1.334235,1.336445,-1.0
2014-08-14,1.33647,1.340785,1.334855,1.3365,-1.0
2014-08-15,1.33672,1.34119,1.33589,1.3401,-1.0
2014-08-18,1.3397,1.33993,1.335305,1.336345,-1.0
2014-08-19,1.336315,1.336335,1.331325,1.33199,-1.0
2014-08-20,1.33197,1.332455,1.325535,1.325945,-1.0
2014-08-21,1.32598,1.328855,1.32421,1.328085,-1.0
2014-08-22,1.328135,1.329665,1.322075,1.32426,-1.0
2014-08-25,1.320195,1.321045,1.318375,1.319215,-1.0
2014-08-26,1.319245,1.321515,1.31647,1.316745,-1.0
2014-08-27,1.316865,1.320995,1.315275,1.3193,-1.0
2014-08-28,1.31935,1.32209,1.31596,1.318215,-1.0
2014-08-29,1.31839,1.319625,1.313165,1.313195,-1.0
2014-09-01,1.313125,1.31456,1.31192,1.312865,-1.0
2014-09-02,1.312725,1.313685,1.31103,1.31332,-1.0
2014-09-03,1.313195,1.316,1.31223,1.31504,-1.0
2014-09-04,1.31501,1.315415,1.292005,1.294375,-1.0
2014-09-05,1.293915,1.298925,1.29221,1.29516,-1.0
2014-09-08,1.295725,1.29591,1.28814,1.28947,-1.0
2014-09-09,1.289565,1.295745,1.28594,1.293765,-1.0
2014-09-10,1.29409,1.2963,1.288375,1.291685,-1.0
2014-09-11,1.29147,1.295195,1.28972,1.292425,-1.0
2014-09-12,1.292115,1.29794,1.290885,1.296315,-1.0
2014-09-15,1.296905,1.297035,1.290875,1.29402,-1.0
2014-09-16,1.29403,1.299545,1.292235,1.295975,-1.0
2014-09-17,1.29618,1.29815,1.28523,1.286495,-1.0
2014-09-18,1.286225,1.29309,1.28346,1.29233,-1.0
2014-09-19,1.29177,1.2929,1.282795,1.28291,-1.0
2014-09-22,1.2831,1.286785,1.28164,1.28494,-1.0
2014-09-23,1.284885,1.290125,1.28427,1.284645,-1.0
2014-09-24,1.284825,1.286385,1.277425,1.278045,-1.0
2014-09-25,1.27798,1.27834,1.26967,1.275055,-1.0
2014-09-26,1.274915,1.27608,1.26769,1.26828,-1.0
2014-09-29,1.26825,1.271505,1.266375,1.268545,-1.0
2014-09-30,1.268775,1.27024,1.257115,1.26307,-1.0
2014-10-01,1.262975,1.26397,1.25837,1.262265,-1.0
2014-10-02,1.26173,1.269895,1.261365,1.266885,-1.0
2014-10-03,1.267,1.26748,1.25007,1.2515,-1.0
2014-10-06,1.25145,1.26749,1.2509,1.26553,-1.0
2014-10-07,1.26568,1.26821,1.258375,1.266885,-1.0
2014-10-08,1.26657,1.27489,1.262235,1.273375,-1.0
2014-10-09,1.273205,1.279145,1.266355,1.269075,-1.0
2014-10-10,1.269095,1.271655,1.260555,1.263005,-1.0
2014-10-13,1.262495,1.27615,1.262145,1.27519,-1.0
